,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.498,0.919,0,-8.267,1,0.0486,0.00083,0.802,0.664,0.0224,122.993,audio_features,38cW9JaFWfLC3orTIxLjyF,spotify:track:38cW9JaFWfLC3orTIxLjyF,https://api.spotify.com/v1/tracks/38cW9JaFWfLC3orTIxLjyF,https://api.spotify.com/v1/audio-analysis/38cW9JaFWfLC3orTIxLjyF,273531,4,Dark Waters,spotify:track:38cW9JaFWfLC3orTIxLjyF,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
1,0.447,0.761,0,-6.458,1,0.0478,0.015,0.0145,0.115,0.0389,125.072,audio_features,09XTAiCLjB3x7lY5F86jbA,spotify:track:09XTAiCLjB3x7lY5F86jbA,https://api.spotify.com/v1/tracks/09XTAiCLjB3x7lY5F86jbA,https://api.spotify.com/v1/audio-analysis/09XTAiCLjB3x7lY5F86jbA,345469,4,Aurora,spotify:track:09XTAiCLjB3x7lY5F86jbA,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
2,0.518,0.907,11,-5.919,0,0.033,0.00143,0.816,0.348,0.405,129.971,audio_features,0gGzUE78BArQhcU9RluEYY,spotify:track:0gGzUE78BArQhcU9RluEYY,https://api.spotify.com/v1/tracks/0gGzUE78BArQhcU9RluEYY,https://api.spotify.com/v1/audio-analysis/0gGzUE78BArQhcU9RluEYY,199500,4,Take Me There,spotify:track:0gGzUE78BArQhcU9RluEYY,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
3,0.563,0.933,1,-6.394,1,0.041,0.000831,0.862,0.577,0.221,127.008,audio_features,6zg90KmO7Es1whVmd6myOD,spotify:track:6zg90KmO7Es1whVmd6myOD,https://api.spotify.com/v1/tracks/6zg90KmO7Es1whVmd6myOD,https://api.spotify.com/v1/audio-analysis/6zg90KmO7Es1whVmd6myOD,208875,4,1995,spotify:track:6zg90KmO7Es1whVmd6myOD,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
4,0.604,0.802,7,-7.047,0,0.0306,0.108,0.93,0.319,0.0613,125.027,audio_features,4OVL2Sd65nIFTV6GzjGiZh,spotify:track:4OVL2Sd65nIFTV6GzjGiZh,https://api.spotify.com/v1/tracks/4OVL2Sd65nIFTV6GzjGiZh,https://api.spotify.com/v1/audio-analysis/4OVL2Sd65nIFTV6GzjGiZh,238500,4,She Was Looking Into The Sun,spotify:track:4OVL2Sd65nIFTV6GzjGiZh,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
5,0.453,0.911,3,-3.894,0,0.0359,0.00439,0.0329,0.121,0.0588,119.958,audio_features,7uiVYIrHaAytRFFgv5HFKs,spotify:track:7uiVYIrHaAytRFFgv5HFKs,https://api.spotify.com/v1/tracks/7uiVYIrHaAytRFFgv5HFKs,https://api.spotify.com/v1/audio-analysis/7uiVYIrHaAytRFFgv5HFKs,222625,4,Répondez-moi,spotify:track:7uiVYIrHaAytRFFgv5HFKs,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
6,0.58,0.675,2,-8.928,1,0.0339,0.229,0.938,0.0684,0.0422,122.029,audio_features,6B06hIQolypbuU8DRmK4Jf,spotify:track:6B06hIQolypbuU8DRmK4Jf,https://api.spotify.com/v1/tracks/6B06hIQolypbuU8DRmK4Jf,https://api.spotify.com/v1/audio-analysis/6B06hIQolypbuU8DRmK4Jf,277375,4,Off The Grid,spotify:track:6B06hIQolypbuU8DRmK4Jf,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
7,0.725,0.81,10,-6.109,0,0.0474,0.000496,0.612,0.142,0.0431,124.073,audio_features,1B0HarjO3DCTRjvz8FTIJV,spotify:track:1B0HarjO3DCTRjvz8FTIJV,https://api.spotify.com/v1/tracks/1B0HarjO3DCTRjvz8FTIJV,https://api.spotify.com/v1/audio-analysis/1B0HarjO3DCTRjvz8FTIJV,231250,4,Revival,spotify:track:1B0HarjO3DCTRjvz8FTIJV,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
8,0.533,0.885,2,-6.599,1,0.036,0.0104,0.895,0.253,0.0627,123.015,audio_features,4wx4ifUcysIW731HkJ7EzD,spotify:track:4wx4ifUcysIW731HkJ7EzD,https://api.spotify.com/v1/tracks/4wx4ifUcysIW731HkJ7EzD,https://api.spotify.com/v1/audio-analysis/4wx4ifUcysIW731HkJ7EzD,225000,4,Alma,spotify:track:4wx4ifUcysIW731HkJ7EzD,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
9,0.472,0.929,1,-6.888,1,0.0364,1.76e-05,0.722,0.32,0.143,126.996,audio_features,2FQtr1Z6DtRijtu1a7Zo5t,spotify:track:2FQtr1Z6DtRijtu1a7Zo5t,https://api.spotify.com/v1/tracks/2FQtr1Z6DtRijtu1a7Zo5t,https://api.spotify.com/v1/audio-analysis/2FQtr1Z6DtRijtu1a7Zo5t,219000,4,Koski,spotify:track:2FQtr1Z6DtRijtu1a7Zo5t,gardenstate,1XcPIHqirx1Jaxm2bAxMeV
