,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993,audio_features,5joiME4fAdb6FqrsXOs3u9,spotify:track:5joiME4fAdb6FqrsXOs3u9,https://api.spotify.com/v1/tracks/5joiME4fAdb6FqrsXOs3u9,https://api.spotify.com/v1/audio-analysis/5joiME4fAdb6FqrsXOs3u9,63060,4,Silk Sonic Intro,spotify:track:5joiME4fAdb6FqrsXOs3u9,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
1,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,1LPSkqVhWVRUkKE03YUkpB,spotify:track:1LPSkqVhWVRUkKE03YUkpB,https://api.spotify.com/v1/tracks/1LPSkqVhWVRUkKE03YUkpB,https://api.spotify.com/v1/audio-analysis/1LPSkqVhWVRUkKE03YUkpB,242096,4,Leave The Door Open,spotify:track:1LPSkqVhWVRUkKE03YUkpB,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
2,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,audio_features,7HEWQj82REyDOKMAAlB9pc,spotify:track:7HEWQj82REyDOKMAAlB9pc,https://api.spotify.com/v1/tracks/7HEWQj82REyDOKMAAlB9pc,https://api.spotify.com/v1/audio-analysis/7HEWQj82REyDOKMAAlB9pc,219389,4,Fly As Me,spotify:track:7HEWQj82REyDOKMAAlB9pc,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
3,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,audio_features,7ozvuHnA1zWzuTvReLChVL,spotify:track:7ozvuHnA1zWzuTvReLChVL,https://api.spotify.com/v1/tracks/7ozvuHnA1zWzuTvReLChVL,https://api.spotify.com/v1/audio-analysis/7ozvuHnA1zWzuTvReLChVL,249444,4,After Last Night (with Thundercat & Bootsy Collins),spotify:track:7ozvuHnA1zWzuTvReLChVL,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
4,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,audio_features,7sMBvZCSUl99bJLXZaLa0b,spotify:track:7sMBvZCSUl99bJLXZaLa0b,https://api.spotify.com/v1/tracks/7sMBvZCSUl99bJLXZaLa0b,https://api.spotify.com/v1/audio-analysis/7sMBvZCSUl99bJLXZaLa0b,197443,4,Smokin Out The Window,spotify:track:7sMBvZCSUl99bJLXZaLa0b,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
5,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,audio_features,5U4laaEEChW8FOtZXCu8C7,spotify:track:5U4laaEEChW8FOtZXCu8C7,https://api.spotify.com/v1/tracks/5U4laaEEChW8FOtZXCu8C7,https://api.spotify.com/v1/audio-analysis/5U4laaEEChW8FOtZXCu8C7,255455,4,Put On A Smile,spotify:track:5U4laaEEChW8FOtZXCu8C7,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
6,0.832,0.617,7,-11.166,1,0.0971,0.00295,0.000763,0.337,0.909,102.017,audio_features,4CO5GFNJkfowx0rAPKfZ3j,spotify:track:4CO5GFNJkfowx0rAPKfZ3j,https://api.spotify.com/v1/tracks/4CO5GFNJkfowx0rAPKfZ3j,https://api.spotify.com/v1/audio-analysis/4CO5GFNJkfowx0rAPKfZ3j,165001,4,777,spotify:track:4CO5GFNJkfowx0rAPKfZ3j,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
7,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,audio_features,71l8BEtJPXXlWbV6hhTHWK,spotify:track:71l8BEtJPXXlWbV6hhTHWK,https://api.spotify.com/v1/tracks/71l8BEtJPXXlWbV6hhTHWK,https://api.spotify.com/v1/audio-analysis/71l8BEtJPXXlWbV6hhTHWK,203123,4,Skate,spotify:track:71l8BEtJPXXlWbV6hhTHWK,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
8,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,audio_features,21afd9hCjpQ6lE5DPbcPHP,spotify:track:21afd9hCjpQ6lE5DPbcPHP,https://api.spotify.com/v1/tracks/21afd9hCjpQ6lE5DPbcPHP,https://api.spotify.com/v1/audio-analysis/21afd9hCjpQ6lE5DPbcPHP,284870,4,Blast Off,spotify:track:21afd9hCjpQ6lE5DPbcPHP,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
9,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983,4,24K Magic,spotify:track:6b8Be6ljOzmkOmFslEb23P,Bruno Mars,0du5cEVh5yTK9QJze8zA0C
